Date,Price,Open,High,Low,Change %,
15-Dec-09,1.1033,1.0924,1.1065,1.0911,1.00%,12/15/2009
14-Dec-09,1.0924,1.0984,1.1043,1.0901,-0.30%,12/14/2009
11-Dec-09,1.0957,1.0913,1.0998,1.0883,0.38%,12/11/2009
10-Dec-09,1.0915,1.0997,1.0997,1.0887,-0.75%,12/10/2009
9-Dec-09,1.0997,1.1082,1.1082,1.0974,-0.78%,12/9/2009
8-Dec-09,1.1084,1.0929,1.1087,1.0912,1.42%,12/8/2009
7-Dec-09,1.0929,1.0943,1.1044,1.0882,-0.03%,12/7/2009
4-Dec-09,1.0932,1.082,1.0978,1.0767,1.04%,12/4/2009
3-Dec-09,1.082,1.078,1.0832,1.0731,0.37%,12/3/2009
2-Dec-09,1.078,1.0805,1.0832,1.0759,-0.23%,12/2/2009
1-Dec-09,1.0805,1.0898,1.0978,1.0788,-0.87%,12/1/2009
30-Nov-09,1.09,1.0962,1.098,1.0876,-1.22%,11/30/2009
27-Nov-09,1.1035,1.106,1.1176,1.0993,-0.23%,11/27/2009
26-Nov-09,1.106,1.0759,1.1098,1.0759,2.80%,11/26/2009
25-Nov-09,1.0759,1.0857,1.0857,1.0726,-0.90%,11/25/2009
24-Nov-09,1.0857,1.0828,1.0948,1.0828,0.27%,11/24/2009
23-Nov-09,1.0828,1.092,1.0923,1.078,-0.95%,11/23/2009
20-Nov-09,1.0932,1.0878,1.1033,1.0853,0.50%,11/20/2009
19-Nov-09,1.0878,1.0774,1.0949,1.0773,0.97%,11/19/2009
18-Nov-09,1.0774,1.0739,1.0791,1.071,0.33%,11/18/2009
17-Nov-09,1.0739,1.0677,1.0821,1.0667,0.58%,11/17/2009
16-Nov-09,1.0677,1.0695,1.0735,1.0632,-0.41%,11/16/2009
13-Nov-09,1.0721,1.0812,1.0822,1.0702,-0.84%,11/13/2009
12-Nov-09,1.0812,1.075,1.0856,1.0675,0.58%,11/12/2009
11-Nov-09,1.075,1.0745,1.0785,1.0704,0.02%,11/11/2009
10-Nov-09,1.0748,1.0737,1.0803,1.073,0.11%,11/10/2009
9-Nov-09,1.0736,1.0865,1.0873,1.0732,-1.41%,11/9/2009
6-Nov-09,1.089,1.0986,1.0992,1.0872,-0.87%,11/6/2009
5-Nov-09,1.0986,1.0993,1.1076,1.0962,-0.06%,11/5/2009
4-Nov-09,1.0993,1.106,1.1132,1.094,-0.61%,11/4/2009
3-Nov-09,1.106,1.1048,1.1214,1.0999,0.11%,11/3/2009
2-Nov-09,1.1048,1.1155,1.1155,1.0965,-0.58%,11/2/2009
30-Oct-09,1.1113,1.0934,1.1137,1.09,1.64%,10/30/2009
29-Oct-09,1.0934,1.1126,1.1178,1.0893,-1.73%,10/29/2009
28-Oct-09,1.1126,1.0898,1.1157,1.0872,2.09%,10/28/2009
27-Oct-09,1.0898,1.0917,1.0962,1.0851,-0.17%,10/27/2009
26-Oct-09,1.0917,1.0856,1.0958,1.0779,0.68%,10/26/2009
23-Oct-09,1.0843,1.0771,1.0869,1.0759,0.67%,10/23/2009
22-Oct-09,1.0771,1.0783,1.0883,1.0755,-0.11%,10/22/2009
21-Oct-09,1.0783,1.0813,1.0876,1.0724,-0.39%,10/21/2009
20-Oct-09,1.0825,1.0775,1.089,1.0743,0.52%,10/20/2009
19-Oct-09,1.0769,1.0932,1.0971,1.076,-1.29%,10/19/2009
16-Oct-09,1.091,1.08,1.0956,1.0788,0.88%,10/16/2009
15-Oct-09,1.0815,1.0897,1.0926,1.0815,-0.85%,10/15/2009
14-Oct-09,1.0908,1.102,1.1023,1.0908,-1.06%,10/14/2009
13-Oct-09,1.1025,1.1009,1.1069,1.0963,0.18%,10/13/2009
12-Oct-09,1.1005,1.1061,1.1131,1.0997,-0.56%,10/12/2009
9-Oct-09,1.1067,1.1066,1.1093,1.1009,0.08%,10/9/2009
8-Oct-09,1.1058,1.1201,1.1202,1.1003,-1.21%,10/8/2009
7-Oct-09,1.1194,1.1235,1.1276,1.1175,-0.40%,10/7/2009
6-Oct-09,1.1239,1.1391,1.1413,1.1213,-1.40%,10/6/2009
5-Oct-09,1.1399,1.152,1.1513,1.1367,-1.36%,10/5/2009
2-Oct-09,1.1556,1.1521,1.1663,1.1481,0.34%,10/2/2009
1-Oct-09,1.1517,1.1317,1.1527,1.1289,1.76%,10/1/2009
